"profitability","name","rights_cost","cost_of_lifespan","earnings_of_lifespan","install_earnings"
"$16,590,282.36","Minecraft","69900.00","12108.0000000000000000","60108.0000000000000000","16612182.3600"
"$16,581,698.64","Minecraft","69900.00","12108.0000000000000000","60108.0000000000000000","16603598.6400"
"$2,417,344.38","Grand Theft Auto: San Andreas","69900.00","12105.6000000000000000","60105.6000000000000000","2439244.3800"
"$586,457.14","Bloons TD 5","29900.00","12110.4000000000000000","60110.4000000000000000","568357.1400"
"$446,892.07","Weather Live","59900.00","12108.0000000000000000","60108.0000000000000000","458792.0700"
"$436,052.34","DraStic DS Emulator","49900.00","12110.4000000000000000","60110.4000000000000000","437952.3400"
"$427,209.08","Hitman Sniper","25000","12110.4000000000000000","60110.4000000000000000","404209.0800"
"$405,612.97","Card Wars - Adventure Time","29900.00","12103.2000000000000000","60103.2000000000000000","387512.9700"
"$398,592.60","Where's My Water?","25000","12112.8000000000000000","60112.8000000000000000","375592.6000"
"$329,787.93","Star Wars ™: DIRTY","99900.00","12108.0000000000000000","60108.0000000000000000","381687.9300"
"$319,506.95","Five Nights at Freddy's","29900.00","12110.4000000000000000","60110.4000000000000000","301406.9500"
